company_id,company_name,broad_sector,profit_margin,asset_turnover,equity_multiplier,roe,roe_label,leverage_label
HINDALCO,Hindalco Industries Ltd,Materials,0.047,0.936,2.17,9.57,Weak,Moderate
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,0.0799,0.5454,1.74,7.57,Weak,Moderate
TECHM,Tech Mahindra Ltd,Information Technology,0.0461,1.205,1.62,8.99,Weak,Moderate
LODHA,Macrotech Developers Ltd,Real Estate,0.1506,0.2186,2.7,8.9,Weak,High
LT,Larsen & Toubro Ltd,Industrials,0.0703,0.8028,1.38,7.77,Weak,Low
TATASTEEL,"Tata Steel Ltd
",Materials,-0.0214,0.8509,2.93,-5.33,Weak,High
JSWENERGY,JSW Energy Ltd,Energy,0.1502,0.1988,2.77,8.28,Weak,High
SHREECEM,Shree Cement Ltd,Materials,0.0845,0.7349,1.35,8.37,Weak,Low
JIOFIN,Jio Financial Services Ltd,Financials,0.8652,0.0128,1.04,1.15,Weak,Low
DLF,DLF Ltd,Real Estate,0.4238,0.1088,1.5,6.91,Weak,Moderate
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,-0.0398,0.7664,1.46,-4.45,Weak,Low
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,0.0094,0.302,27.17,7.73,Weak,High
NAUKRI,Info Edge (India) Ltd,Communication Services,0.2346,0.0703,1.19,1.97,Weak,Low
BHEL,"Bharat Heavy Electricals Limited
",Industrials,0.0118,0.3996,2.45,1.15,Weak,Moderate
RELIANCE,"Reliance Industries Ltd
",Energy,0.0879,0.5123,2.21,9.96,Weak,Moderate
ADANIENT,Adani Enterprises Ltd,Industrials,0.0346,0.6004,4.11,8.53,Weak,High
ADANIENSOL,Adani Energy Solutions Ltd,Energy,0.072,0.2837,4.63,9.46,Weak,High
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,0.1185,0.5639,1.34,8.93,Weak,Low
